03/20/20,152,11/6/2020  
04/11,54,12/1/2020  
04/18,681,11/29/2020  
05/17,1421,11/18/2020  
06/20,147,11/5/2020  
07/20,908,11/11/2020  
07/20,787,11/3/2020  
08/20,777,11/30/2020  
09/20,101,11/6/2020  
10/16,751,11/27/2020  
10/20,921,11/7/2020  
100/19,128,11/27/2020  
100/19,128,11/18/2020  
100/19,131,11/11/2020  
100/19,121,11/3/2020  
100/20,980,11/13/2020  
1000/19,73,11/11/2020  
1000/20,546,11/11/2020  
1001/18,550,11/2/2020  
1003/20,63,11/11/2020  
1004/13,461,11/4/2020  
1004/17,410,11/15/2020  
1004/20,84,11/25/2020  
1007/13,1283,11/3/2020  
1007/20,90,11/12/2020  
1008/15,559,11/2/2020  
1008/19,65,12/1/2020  
1009/20,451,11/26/2020  
101/20,858,11/2/2020  
1010/16,107,11/29/2020  
1010/16,82,11/3/2020  
1010/17,102,11/5/2020  
1011/06,72,11/25/2020  
1011/17,78,11/29/2020  
1011/17,60,11/5/2020  
1012/19,1393,11/4/2020  
1012/20,218,11/19/2020  
1014/17,103,11/24/2020  
1014/20,152,11/16/2020  
1015/17,942,11/5/2020  
1015/19,652,11/5/2020  
1016/04,383,11/25/2020  
1016/20,122,11/16/2020  
1017/20,158,11/17/2020  
102/13,60,11/23/2020  
1020/01,579,11/25/2020  
1020/20,98,11/18/2020  
1021/20,553,11/18/2020  
1022/20,55,11/22/2020  
1025/20,479,11/19/2020  
1026/20,1366,11/22/2020  
1027/04,498,11/5/2020  
1028/19,699,11/2/2020  
1028/20,415,11/25/2020  
1029/18,1041,11/3/2020  
103/16,383,11/24/2020  
1031/18,941,11/3/2020  
1035/20,112,11/24/2020  
1036/14,39,11/3/2020  
1037/20,618,11/26/2020  
1038/17,764,11/2/2020  
1038/19,51,11/10/2020  
1038/20,123,12/1/2020  
1038/20,133,11/27/2020  
104/03,239,12/1/2020  
104/03,1204,11/5/2020  
104/17,398,11/4/2020  
1041/12,99,11/12/2020  
1042/15,97,11/12/2020  
1042/20,245,11/25/2020  
1043/20,195,11/25/2020  
1044/20,239,11/25/2020  
1045/20,123,11/25/2020  
1046/15,755,11/2/2020  
1046/20,363,11/25/2020  
1048/20,57,11/26/2020  
1049/20,266,11/23/2020  
105/13,134,11/17/2020  
105/17,577,11/8/2020  
105/20,98,11/30/2020  
105/20,93,11/27/2020  
105/20,101,11/27/2020  
105/20,90,11/23/2020  
105/20,102,11/18/2020  
105/20,108,11/17/2020  
105/20,88,11/13/2020  
105/20,101,11/9/2020  
105/20,93,11/6/2020  
105/20,102,11/3/2020  
1050/15,1298,11/3/2020  
1050/19,403,11/25/2020  
1051/12,410,11/23/2020  
1051/15,243,11/8/2020  
1053/19,614,11/22/2020  
1054/14,102,11/22/2020  
1055/13,686,11/23/2020  
1055/19,681,11/3/2020  
1056/17,809,11/3/2020  
1057/18,500,12/1/2020  
1057/18,471,11/3/2020  
1058/19,465,11/12/2020  
106/20,305,11/9/2020  
1061/09,86,11/22/2020  
1061/19,694,11/4/2020  
1062/19,116,11/24/2020  
1064/10,114,11/22/2020  
1064/14,603,11/4/2020  
1064/18,1396,11/2/2020  
1065/18,436,11/11/2020  
1066/04,128,11/19/2020  
1066/19,599,11/20/2020  
1067/09,142,11/26/2020  
1068/20,165,11/27/2020  
1069/10,1120,11/13/2020  
1069/13,81,11/17/2020  
1069/14,72,11/24/2020  
107/19,1136,11/4/2020  
1072/17,606,11/15/2020  
1074/19,1037,11/5/2020  
1076/04,163,11/5/2020  
1077/18,955,11/3/2020  
1077/19,130,12/1/2020  
1077/19,118,11/25/2020  
1077/19,114,11/18/2020  
1077/19,132,11/11/2020  
1077/19,135,11/4/2020  
1079/10,990,11/16/2020  
108/17,50,11/9/2020  
1080/19,1104,11/9/2020  
1081/10,75,11/24/2020  
1083/18,105,12/1/2020  
1083/18,758,11/6/2020  
1083/18.,766,12/1/2020  
1084/10,109,11/17/2020  
1085/9,144,11/12/2020  
1086/17,778,11/4/2020  
1086/18,99,12/1/2020  
1086/19,283,11/11/2020  
1087/19,180,11/30/2020  
1087/19,208,11/26/2020  
1087/19,247,11/16/2020  
1087/19,360,11/9/2020  
1088/19,562,11/24/2020  
1088/19,511,11/8/2020  
1089/14,154,11/2/2020  
1089/18,948,12/1/2020  
1089/18,890,11/5/2020  
1091/17,1060,11/2/2020  
1091/19,397,11/10/2020  
1093/17,921,11/5/2020  
1098/17,695,12/1/2020  
1098/18,901,11/4/2020  
1099/17,1268,11/5/2020  
1099/19,103,11/10/2020  
11/19,96,11/19/2020  
11/20,80,11/13/2020  
110/16,865,11/5/2020  
110/18,592,11/3/2020  
1101/07,113,11/4/2020  
1101/14,71,11/29/2020  
1108/17,95,11/22/2020  
111/03,1163,11/3/2020  
1110/17,471,11/19/2020  
1112/09,355,11/22/2020  
1113/17,526,11/2/2020  
1114/19,1265,11/25/2020  
1114/19,883,11/9/2020  
1115/19,935,11/2/2020  
1117/07,132,11/16/2020  
1117/13,198,11/10/2020  
1118/18,189,11/17/2020  
1119/17,915,11/2/2020  
112/19,160,11/15/2020  
112/20,854,11/5/2020  
1121/18,103,11/24/2020  
1124/13,862,11/2/2020  
1124/19,437,11/10/2020  
1126/18,199,11/4/2020  
1130/19,831,11/3/2020  
1130/19.,1448,11/3/2020  
1133/18,659,11/22/2020  
1134/9,1013,11/6/2020  
1137/19,1144,11/5/2020  
1138/18,85,11/4/2020  
1139/18,178,11/12/2020  
114/20,325,11/12/2020  
1140/18,275,11/6/2020  
1143/14,154,11/8/2020  
115/19,1110,11/17/2020  
115/20,234,11/4/2020  
1153/13,405,11/18/2020  
116/18,913,11/3/2020  
1179/08,626,11/9/2020  
118/19,805,11/3/2020  
1185/13,1917,11/5/2020  
1185/13,1891,11/5/2020  
119/13,121,11/12/2020  
1193/20,188,11/23/2020  
1206/09,97,11/8/2020  
122/20,1156,11/5/2020  
1224/20.,56,11/5/2020  
1226/13,1025,11/5/2020  
1228/06,184,11/8/2020  
123/14,863,11/5/2020  
1247/08,1545,11/5/2020  
1247/09,168,11/24/2020  
1247/09,162,11/17/2020  
1247/09,156,11/15/2020  
1253/07,153,11/5/2020  
128/18,701,11/2/2020  
1283/07,721,11/6/2020  
129/19,799,11/5/2020  
13/20,761,11/9/2020  
130/19,506,11/12/2020  
130/20,306,11/15/2020  
1307/20,166,11/19/2020  
131/19,1488,11/2/2020  
1316/06,77,11/13/2020  
132/19,100,11/23/2020  
132/19,832,11/12/2020  
1321/20,7229,11/23/2020  
1321/20,99,11/23/2020  
1338/02,146,11/24/2020  
1339/20,115,11/30/2020  
1339/20,124,11/2/2020  
1340/20,144,11/2/2020  
1346/17,150,11/23/2020  
135/19,121,11/17/2020  
137/11,201,11/17/2020  
137/14,51,11/2/2020  
1380/20,107,11/23/2020  
1382/20,72,11/23/2020  
1383/20,79,11/23/2020  
1389/09,94,11/17/2020  
1390/08,81,11/17/2020  
1394/03,209,11/2/2020  
1394/20,227,12/1/2020  
1399/20,71,11/19/2020  
14/20,370,11/11/2020  
14/20,75,11/6/2020  
140/20,655,11/12/2020  
140/20,819,11/11/2020  
1405/20,141,11/23/2020  
1406/20,62,11/23/2020  
1407/20,561,11/23/2020  
1408/6,99,11/13/2020  
1409/20,81,11/23/2020  
141/15,238,11/27/2020  
1411/04,150,11/30/2020  
1411/20,65,11/23/2020  
1419/20,224,11/26/2020  
1424/02,326,11/18/2020  
145/16,102,11/8/2020  
145/19,733,11/3/2020  
145/20,477,11/6/2020  
145/20,1209,11/3/2020  
146/20,862,11/2/2020  
1472/02,320,11/9/2020  
149/02,117,11/26/2020  
149/20,102,11/12/2020  
15/20,891,11/2/2020  
15/20.,387,11/2/2020  
150/18,877,11/4/2020  
151/09,916,11/5/2020  
151/16,147,11/16/2020  
1517/18,57,11/6/2020  
152/19,667,11/3/2020  
153/19,73,11/19/2020  
1532/09,111,11/19/2020  
1537/09,506,11/3/2020  
154/20,123,12/1/2020  
154/20,125,11/23/2020  
154/20,122,11/21/2020  
154/20,118,11/16/2020  
154/20,111,11/12/2020  
154/20,104,11/9/2020  
154/20,102,11/6/2020  
154/20,113,11/3/2020  
155/20,235,11/11/2020  
156/16,79,11/10/2020  
156/19,1014,11/3/2020  
156/20,621,11/9/2020  
1563/02,56,11/10/2020  
158/19,106,11/23/2020  
158/20,614,11/9/2020  
158/20,637,11/6/2020  
159/14,217,11/8/2020  
159/18,1045,11/5/2020  
160/13,1408,11/10/2020  
160/13...,871,11/10/2020  
1602/03,110,11/17/2020  
1624/18,135,11/23/2020  
1636/03,261,11/15/2020  
164/16,284,11/12/2020  
1659/01,104,11/10/2020  
1664/03,119,11/16/2020  
167/09,100,11/18/2020  
1678/01,112,11/5/2020  
1689/18,95,11/27/2020  
169/12,98,11/6/2020  
1695/01,111,11/4/2020  
17/17,83,11/22/2020  
17/19,123,11/6/2020  
170/18,759,11/13/2020  
1716/01,595,11/2/2020  
173/18,725,11/3/2020  
174/15,198,11/26/2020  
175/19,306,11/9/2020  
175/49,150,11/27/2020  
176/18??,67,11/18/2020  
176/19,372,11/4/2020  
177121..,500,11/15/2020  
178/20,275,11/4/2020  
18/19,93,11/26/2020  
18/19,102,11/18/2020  
18/19,99,11/13/2020  
18/19,115,11/11/2020  
18/19,104,11/4/2020  
180/12,68,11/27/2020  
181/20,369,11/19/2020  
182/17,1059,11/3/2020  
1824/19,52,11/13/2020  
183/13,135,11/8/2020  
183/18,63,11/26/2020  
183/19,900,12/1/2020  
183/19,719,11/24/2020  
183/19,631,11/4/2020  
183/19,918,11/3/2020  
1839/05,598,11/27/2020  
185/19,1119,12/1/2020  
185/19,1082,11/20/2020  
185/19,946,11/3/2020  
186/16,70,11/30/2020  
186/17,124,11/16/2020  
187/19,139,11/24/2020  
189/18,682,11/5/2020  
19/16,139,11/15/2020  
19/20,99,11/24/2020  
19/20,873,11/6/2020  
190/06,183,11/24/2020  
190/18,92,11/5/2020  
190/19,623,11/11/2020  
191/18,108,11/29/2020  
191/19,134,11/24/2020  
191/19,352,11/5/2020  
192/16,145,11/16/2020  
193/13,105,11/2/2020  
193/14,335,11/25/2020  
193/17,773,11/4/2020  
194/16,93,11/27/2020  
195/20,128,11/14/2020  
195/20.,129,11/14/2020  
196/11,269,11/22/2020  
197/20,1172,11/11/2020  
198/17,68,11/8/2020  
198/20,134,11/24/2020  
199/18,460,11/13/2020  
199/19,66,11/5/2020  
20/18,569,11/23/2020  
20/18,108,11/13/2020  
202/07,247,11/16/2020  
2020/18,190,11/4/2020  
2020/19,636,11/5/2020  
203/13,1004,11/16/2020  
204/20,768,11/2/2020  
205/20,143,11/26/2020  
207/19,473,11/13/2020  
210/11,587,11/4/2020  
211/14,61,11/23/2020  
