100/17,108,2/7/2021
100/19,141,2/2/2021
100/20,1160,2/9/2021
100/20,1177,2/9/2021
1001/18,682,2/10/2021
1003/07,187,2/18/2021
1004/17,401,2/7/2021
10044/21,562,2/4/2021
1006/20,606,2/10/2021
1007/13,1583,2/9/2021
1007/19,326,2/4/2021
1008/15,828,2/5/2021
1008/20,262,2/4/2021
101/11,91,2/21/2021
101/18,118,2/5/2021
101/20,1021,2/10/2021
1010/16,97,2/21/2021
1011/17,71,2/21/2021
1011/18,280,2/10/2021
1011/20,604,2/28/2021
1011/6,60,2/17/2021
1012/10,152,2/18/2021
1012/19,1240,2/10/2021
1013/16,679,2/1/2021
1014/16,517,2/15/2021
1015/18,165,2/16/2021
1015/19,590,2/10/2021
1016/18,185,2/27/2021
1019/19,538,2/10/2021
102/13,54,2/22/2021
102/21,136,2/15/2021
102/21,141,2/9/2021
1020/16,140,2/2/2021
1020/20,77,2/10/2021
1021/15,593,2/10/2021
1024/16,814,2/8/2021
1025/16,55,2/11/2021
1027/09,109,2/17/2021
1028/13,110,2/2/2021
1028/19,661,2/8/2021
1029/20,856,2/8/2021
103/16,336,2/16/2021
103/21,688,2/17/2021
103/21,179,2/9/2021
1031/18,1069,2/9/2021
1033/17,204,2/17/2021
1033/20,171,2/12/2021
1037/20,282,2/21/2021
1038/17,833,2/8/2021
1038/17,360,2/8/2021
1038/19,60,2/2/2021
1038/20,171,2/16/2021
1038/20,151,2/8/2021
1038/20,134,2/2/2021
1039/14,130,2/14/2021
104/03,261,2/15/2021
104/21,50,2/9/2021
104/21,637,2/3/2021
1041/12,112,2/4/2021
1042/15,97,2/4/2021
1042/20,286,2/17/2021
1046/15,670,2/11/2021
1047/20,496,2/28/2021
1049/09,746,2/5/2021
1049/18,371,2/15/2021
105/13,164,2/11/2021
105/17,963,2/28/2021
105/20,86,2/9/2021
1050/15,1171,2/8/2021
1050/19,423,2/17/2021
1051/15,247,2/28/2021
1053/12,81,2/3/2021
1053/19,699,2/17/2021
1053/20,448,2/18/2021
1054/20,158,2/4/2021
1055/02,195,2/9/2021
1055/12,530,2/22/2021
1055/19,487,2/9/2021
