1000/09,159,1/5/2021,
1016/04,355,1/20/2021,
1016/10,84,1/5/2021,
1020/01,547,1/20/2021,
1040/12,173,1/20/2021,
1049/09,543,1/7/2021,
1053/12,80,1/6/2021,
1053/12,49,1/5/2021,
1055/02,178,1/12/2021,
1055/12,622,1/25/2021,
1057/12,535,1/5/2021,
1058/06,144,1/21/2021,
1061/9,88,1/17/2021,
1064/05,90,1/6/2021,
1084/10,109,1/12/2021,
1085/09,143,1/13/2021,
1085/09,140,1/7/2021,
1092/10,65,1/12/2021,
1095/07,104,1/29/2021,
1101/07,88,1/25/2021,
1101/07,91,1/5/2021,
1106/07,61,1/29/2021,
1111/05,110,1/10/2021,
1130/06,133,1/21/2021,
1142/08,864,1/8/2021,
1142/08,804,1/5/2021,
1177/01,629,1/5/2021,
1205/02,187,1/25/2021,
1238/07,811,1/6/2021,
1243/08,173,1/5/2021,
1247/08,965,1/18/2021,
1247/08,1362,1/6/2021,
1247/09,151,1/12/2021,
1254/05,121,1/5/2021,
1291/09,710,1/15/2021,
1310/09,113,1/17/2021,
1325/08,107,1/26/2021,
1325/08,131,1/10/2021,
1332/03,75,1/12/2021,
1334/04,229,1/4/2021,
1342/04,69,1/4/2021,
1346/04,116,1/5/2021,
1373/11,83,1/28/2021,
1374/11,60,1/22/2021,
1386/01,261,1/17/2021,
1394/03,231,1/26/2021,
1399/08,122,1/13/2021,
1403/09,68,1/20/2021,
1416/08,911,1/5/2021,
1458/09,79,1/17/2021,
1472/02,378,1/3/2021,
1513/09,173,1/4/2021,
1525/03,68,1/10/2021,
1532/09,106,1/14/2021,
1536/09,108,1/10/2021,
1537/09,495,1/5/2021,
1619/03,222,1/19/2021,
1636/03,250,1/11/2021,
1678/01,116,1/27/2021,
1716/01,731,1/4/2021,
07/2020,200,1/14/2021,
01/2021,248,1/3/2021,
02/21,268,1/4/2021,
04/2021,936,1/19/2021,
04/18,1223,1/24/2021,
04/20,733,1/4/2021,
4/21,281,1/13/2021,
4/21,86,1/5/2021,
06/20,65,1/20/2021,
6/20,674,1/12/2021,
06/21,91,1/12/2021,
07/05,79,1/17/2021,
07/20,193,1/29/2021,
7/20,101,1/27/2021,
07/20,202,1/22/2021,
07/20,191,1/18/2021,
7/21,262,1/5/2021,
09/21,177,1/21/2021,
9/21,608,1/11/2021,
9/21,367,1/5/2021,
10/2021,187,1/5/2021,
10/20,103,1/29/2021,
10/20,1053,1/7/2021,
11/20,87,1/12/2021,
11/20,80,1/12/2021,
11/21,294,1/6/2021,
12/2021,170,1/6/2021,
12/14,399,1/19/2021,
100/19,132,1/5/2021,
100/20,1213,1/8/2021,
100/21,84,1/19/2021,
1000/20,516,1/6/2021,
1001/18,704,1/6/2021,
1003/19,186,1/21/2021,
1004/13,500,1/6/2021,
1004/15,144,1/6/2021,
1004/17,407,1/10/2021,
1005/18,81,1/14/2021,
10067/21,679,1/29/2021,
1007/13,1098,1/5/2021,
1007/19,388,1/7/2021,
1008/15,423,1/5/2021,
1008/20,281,1/7/2021,
101/18,107,1/15/2021,
101/20,1017,1/6/2021,
1010/16,83,1/24/2021,
1011/18,359,1/13/2021,
1011/20,988,1/21/2021,
1012/19,1212,1/6/2021,
1014/17,121,1/19/2021,
1014/19,65,1/12/2021,
1015/15,98,1/10/2021,
1015/17,369,1/1/2021,
1015/18,180,1/18/2021,
1015/19,617,1/6/2021,
1018/16,185,1/11/2021,
1019/20,588,1/6/2021,
102/16,179,1/21/2021,
1020/20,84,1/13/2021,
1021/15,534,1/13/2021,
1021/20,614,1/20/2021,
1024/16,739,1/4/2021,
1028/16,208,1/12/2021,
1028/19,608,1/4/2021,
1028/20,288,1/20/2021,
1029/19,155,1/27/2021,
1029/20,843,1/7/2021,
103/16,333,1/19/2021,
1031/18,785,1/5/2021,
1032/20,524,1/15/2021,
1035/15,110,1/13/2021,
1036/14,54,1/5/2021,
1037/20,302,1/10/2021,
1037/20,710,1/4/2021,
1038/14,161,1/26/2021,
1038/17,912,1/4/2021,
1038/19,48,1/5/2021,
1038/20,133,1/27/2021,
1038/20,130,1/18/2021,
1038/20,129,1/8/2021,
1038/20,127,1/4/2021,
1039/14,143,1/17/2021,
104/03,1252,1/7/2021,
104/17,421,1/27/2021,
1041/16,580,1/11/2021,
1041/20,649,1/13/2021,
1041/20,552,1/5/2021,
1042/17,422,1/5/2021,
1043/20,102,1/20/2021,
1045/20,103,1/20/2021,
1046/15,616,1/4/2021,
10469/20,314,1/27/2021,
1047/18,173,1/28/2021,
1047/20,437,1/31/2021,
1047/20,410,1/3/2021,
1049/18,386,1/18/2021,
105/17,889,1/31/2021,
105/17,828,1/3/2021,
105/20,87,1/12/2021,
105/20,100,1/6/2021,
1050/15,1143,1/4/2021,
1051/13,154,1/21/2021,
1051/15,242,1/3/2021,
1052/14,337,1/11/2021,
1053/17,68,1/7/2021,
1054/14,104,1/17/2021,
1054/18,511,1/4/2021,
1054/19,954,1/6/2021,
1054/20,193,1/7/2021,
1055/19,504,1/5/2021,
1056/17,942,1/7/2021,
1056/17,549,1/5/2021,
1056/18,103,1/26/2021,
1057/18,441,1/23/2021,
1057/19,102,1/5/2021,
1057/20,589,1/31/2021,
1057/20,714,1/30/2021,
106/16,92,1/29/2021,
106/18,67,1/13/2021,
106/20,260,1/4/2021,
1061/14,207,1/31/2021,
1063/17,135,1/21/2021,
1063/18,251,1/6/2021,
