100/19,157,3/2/2021
100/20,1371,3/2/2021
100/21,733,3/1/2021
1000/19,84,3/23/2021
1001/18,483,3/3/2021
1003/07,194,3/25/2021
1003/15,284,3/3/2021
1004/14,114,3/7/2021
1004/15,151,3/31/2021
1004/17,425,3/7/2021
1006/14,191,3/7/2021
1006/20,392,3/11/2021
1007/13,1354,3/5/2021
1008/15,650,3/1/2021
1009/20,654,3/4/2021
101/20,963,3/3/2021
101/21,149,3/3/2021
1010/16,109,3/23/2021
1010/20,86,3/2/2021
1011/04,113,3/30/2021
1011/17,73,3/21/2021
1011/18,355,3/10/2021
1012/19,1395,3/3/2021
10130/21,92,3/12/2021
1014/17,105,3/16/2021
1015/19,570,3/3/2021
1016/04,280,3/18/2021
1017/16,893,3/22/2021
1017/16,447,3/8/2021
1017/20,73,3/9/2021
1019/19,564,3/3/2021
102/21,79,3/9/2021
1020/01,571,3/17/2021
1020/16,123,3/2/2021
1020/18,652,3/15/2021
1020/18,671,3/15/2021
1021/15,595,3/10/2021
1024/12,118,3/22/2021
1024/16,831,3/4/2021
10276/21,123,3/8/2021
1028/18,980,3/15/2021
1028/19,715,3/4/2021
1029/20,97,3/26/2021
1029/20,110,3/22/2021
1029/20,99,3/30/2021
1031/18,1025,3/2/2021
1032/20,416,3/8/2021
1033/04,148,3/8/2021
1033/20,178,3/12/2021
1035/10,99,3/17/2021
1035/20,38,3/15/2021
1037/21,684,3/19/2021
1038/12,232,3/15/2021
1038/13,821,3/4/2021
1038/14,183,3/23/2021
1038/19,52,3/30/2021
1038/20,164,3/30/2021
1038/20,165,3/16/2021
1039/15,103,3/23/2021
1039/19,222,3/16/2021
1039/20,129,3/23/2021
1039/20,132,3/22/2021
1039/20,107,3/15/2021
1039/20,124,3/8/2021
1039/20,125,3/30/2021
1039/20,117,3/26/2021
1039/20,127,3/19/2021
1039/20,104,3/12/2021
104/03,1135,3/18/2021
104/03,1251,3/4/2021
1041/16,548,3/10/2021
1043/19,318,3/10/2021
1044/20,239,3/18/2021
1047/14,132,3/25/2021
1048/15,66,3/16/2021
1049/09,450,3/5/2021
1049/18,369,3/15/2021
105/13,152,3/11/2021
105/17,1107,3/28/2021
105/20,90,3/9/2021
1050/15,1014,3/4/2021
1050/19,349,3/17/2021
1051/12,599,3/2/2021
1051/15,237,3/28/2021
1052/20,136,3/14/2021
1053/12,76,3/3/2021
1054/18,104,3/29/2021
1054/18,101,3/26/2021
1054/18,119,3/22/2021
1054/18,118,3/19/2021
1054/18,98,3/15/2021
1054/18,105,3/12/2021
1054/19,842,3/8/2021
1055/03,180,3/9/2021
1055/13,784,3/24/2021
1055/19,522,3/30/2021
1055/19,414,3/9/2021
1056/17,505,3/3/2021
1056/18,127,3/23/2021
1057/18,549,3/23/2021
1057/19,91,3/2/2021
1057/20,709,3/29/2021
1057/20,542,3/15/2021
1058/19,476,3/4/2021
1058/6,147,3/18/2021
106/20,251,3/28/2021
1061/14,180,3/28/2021
1061/18,566,3/28/2021
1061/19,734,3/10/2021
1061/19,734,3/5/2021
1061/9,82,3/14/2021
1062/19,98,3/16/2021
1064/05,114,3/3/2021
1064/18,1201,3/4/2021
1065/17,582,3/3/2021
1066/19,693,3/15/2021
1066/19,686,3/15/2021
1067/09,136,3/18/2021
1068/18,357,3/30/2021
1068/19,342,3/17/2021
1069/10,1401,3/31/2021
1069/20,107,3/30/2021
1069/20,134,3/25/2021
107/14,114,3/26/2021
107/15,88,3/5/2021
107/21,225,3/4/2021
1072/06,426,3/9/2021
1072/17,810,3/7/2021
1073/17,74,3/31/2021
1073/17,56,3/22/2021
1073/17,53,3/15/2021
1073/19,95,3/25/2021
1074/19,913,3/3/2021
1074/20,865,3/3/2021
1075/18,114,3/10/2021
1076/04,180,3/25/2021
1077/18,947,3/2/2021
1077/19,124,3/30/2021
1077/19,135,3/23/2021
1079/10,882,3/6/2021
1079/20,111,3/14/2021
1079/20,301,3/13/2021
108/21,659,3/4/2021
108/21,545,3/31/2021
108/21,605,3/10/2021
1080/10,124,3/4/2021
1080/19,959,3/19/2021
1081/19,987,3/29/2021
1083/18,727,3/1/2021
1084/10,99,3/11/2021
1085/13,89,3/17/2021
1085/20,125,3/4/2021
1085/9,154,3/4/2021
1086/13,95,3/4/2021
1087/19,187,3/25/2021
1088/17,91,3/16/2021
1088/18,1400,3/10/2021
1089/19,132,3/24/2021
1089/19,502,3/19/2021
1089/20,780,3/16/2021
